"","gene_id","gene_name","LLR_before","pval_before","rank_llr_before","LLR_after","pval_after","rank_llr_after"
"1","ENSMUSG00000031762","Mt2",676.725138113969,0,12,546.287008444376,0,19
"2","ENSMUSG00000005413","Hmox1",671.23653421704,0,13,604.182972847021,0,14
"3","ENSMUSG00000001131","Timp1",528.38443901822,0,43,566.263553984057,0,17
"4","ENSMUSG00000001025","S100a6",405.021158749875,0,79,425.625302990971,0,43
"5","ENSMUSG00000025351","Cd63",358.684393948382,0,106,215.932388125708,0,222
"6","ENSMUSG00000021091","Serpina3n",485.931020416981,0,52,537.893013705834,0,21
"7","ENSMUSG00000026822","Lcn2",392.482898559971,0,85,474.196305242517,0,32
"8","ENSMUSG00000071637","Cebpd",409.685842599505,0,78,350.695015658446,0,75
"9","ENSMUSG00000020932","Gfap",540.558036470741,0,40,629.835754480406,0,11
"10","ENSMUSG00000068220","Lgals1",211.242535390749,0,291,253.771417204953,0,152
"11","ENSMUSG00000026728","Vim",330.830092732558,0,124,336.236802510858,0,84
"12","ENSMUSG00000023905","Tnfrsf12a",364.507316695662,0,103,310.610247349001,0,98
"13","ENSMUSG00000022218","Tgm1",492.213655232192,0,49,460.68255032528,0,36
"14","ENSMUSG00000027907","S100a11",296.7359690373,0,155,320.017138769215,0,92
"15","ENSMUSG00000035385","Ccl2",348.322996560157,0,113,249.154968776983,0,160
"16","ENSMUSG00000046711","Hmga1",173.186708678482,0,409,172.420158737729,0,341
"17","ENSMUSG00000027800","Tm4sf1",373.63176044465,0,94,406.364650456557,0,50
"18","ENSMUSG00000032231","Anxa2",256.037106610765,0,214,233.015045243219,0,192
"19","ENSMUSG00000001473","Tubb6",258.908353657918,0,209,238.409638801934,0,185
"20","ENSMUSG00000027832","Ptx3",466.323586320452,0,57,363.583660121396,0,71
"21","ENSMUSG00000028480","Glipr2",188.795072635978,0,338,197.295519194238,0,269
"22","ENSMUSG00000005087","Cd44",253.415900366323,0,217,231.365844423396,0,199
"23","ENSMUSG00000035373","Ccl7",195.428774327496,0,319,150.867566267039,0,424
"24","ENSMUSG00000050063","Klk6",306.314141351972,0,146,267.556990919983,0,131
"25","ENSMUSG00000067586","S1pr3",266.815859291361,0,197,236.815103318324,0,188
"26","ENSMUSG00000064246","Chil1",284.917260721957,0,167,365.4821243355,0,69
"27","ENSMUSG00000004891","Nes",235.839696337915,0,248,214.780156465143,0,224
"28","ENSMUSG00000068699","Flnc",237.17874168414,0,247,216.631956156396,0,219
"29","ENSMUSG00000032085","Tagln",391.986849336787,0,87,402.328332969611,0,51
"30","ENSMUSG00000053113","Socs3",101.521274794165,0,852,101.295843455734,0,763
"31","ENSMUSG00000064220","Hist2h2aa1",42.2837110363189,7.89474041695826e-11,1941,44.9343175719334,2.03755901040381e-11,1775
"32","ENSMUSG00000029304","Spp1",123.003900922971,0,662,91.8694761860784,0,874
"33","ENSMUSG00000050335","Lgals3",266.474257505128,0,198,215.756761992934,0,223
"34","ENSMUSG00000022893","Adamts1",93.5657695257469,0,929,89.6958839930523,0,894
"35","ENSMUSG00000040212","Emp3",74.0160195332792,0,1201,75.0827509687297,0,1109
"36","ENSMUSG00000028195","Ccn1",137.909138576174,0,564,138.232151616036,0,492
"37","ENSMUSG00000030681","Mvp",80.5678730079562,0,1106,87.1460996313497,0,932
"38","ENSMUSG00000046768","Rhoj",76.9739911608922,0,1148,80.9700197509937,0,1018
"39","ENSMUSG00000002289","Angptl4",43.4050819780141,4.45030678974945e-11,1908,61.3632021006947,4.77395900588817e-15,1401
"40","ENSMUSG00000035493","Tgfbi",116.526765852608,0,715,124.072370999974,0,584
"41","ENSMUSG00000029641","Rasl11a",161.910458042091,0,462,150.781268608936,0,425
"42","ENSMUSG00000034855","Cxcl10",144.11083951052,0,539,118.500988243645,0,640
"43","ENSMUSG00000040663","Clcf1",110.458563091742,0,765,108.759149762295,0,715
"44","ENSMUSG00000024912","Fosl1",134.855798506363,0,576,124.158123489143,0,583
"45","ENSMUSG00000053175","Bcl3",66.1372378603019,4.44089209850063e-16,1354,64.0584256714924,1.22124532708767e-15,1327
"46","ENSMUSG00000022146","Osmr",74.3396070647177,0,1193,70.3910601442944,0,1199
"47","ENSMUSG00000048572","Tmem252",35.8491530470083,2.132006904354e-09,2178,34.2984039536441,4.72769323689448e-09,2123
"48","ENSMUSG00000028364","Tnc",91.4089368757686,0,958,94.5895895182061,0,834
"49","ENSMUSG00000026628","Atf3",88.337259687356,0,994,73.8689549517608,0,1130
"50","ENSMUSG00000041974","Spidr",110.242469466886,0,769,119.565803977431,0,625
"51","ENSMUSG00000018927","Ccl6",56.2045919566785,6.52811138479592e-14,1596,74.9694862911854,0,1112
"52","ENSMUSG00000021281","Tnfaip2",73.4165878077979,0,1212,74.6844762965216,0,1119
"53","ENSMUSG00000040298","Btbd16",61.129302123551,5.32907051820075e-15,1475,62.7214395463493,2.33146835171283e-15,1362
"54","ENSMUSG00000033213","AA467197",47.2304566543526,6.31117380578416e-12,1802,61.3764062398991,4.66293670342566e-15,1399
"55","ENSMUSG00000029762","Akr1b8",41.6378074599643,1.09848352636277e-10,1964,44.0904197574896,3.13551407060686e-11,1789
"56","ENSMUSG00000019122","Ccl9",10.6974046425225,0.00107285934679269,3993,8.62646410532852,0.00331314042438802,4387
"57","ENSMUSG00000061878","Sphk1",57.4926591064564,3.39728245535298e-14,1560,62.6758950791041,2.44249065417534e-15,1363
"58","ENSMUSG00000047884","Klk9",65.3169403028478,6.66133814775094e-16,1379,64.9202800556091,7.7715611723761e-16,1308
"59","ENSMUSG00000040026","Saa3",29.6526742543797,5.16812812545453e-08,2457,25.9313175397783,3.53782757311905e-07,2506
"60","ENSMUSG00000030208","Emp1",76.8273704315625,0,1150,81.1266431600743,0,1016
"61","ENSMUSG00000019987","Arg1",79.2840263842663,0,1118,105.984529839065,0,733
"62","ENSMUSG00000056071","S100a9",41.5056892860894,1.17528431431424e-10,1968,47.3273457692026,6.00686167473441e-12,1716
